id	type	x	y	z	theta	gyokaku
1	spot	30	73.5	28.44357	34.67551	82.48272
2	spot	60	73.5	27.79305	29.25747	85.84937
4	spot	90	73.5	23.00364	27.09025	90.89932
5	spot	90	73.5	28.52434	34.13371	15.14989
6	wid	30	73.5	43.35454	33.5919	301.3144
8	spot	30	73.5	34.96195	15.71234	302.9978
9	spot	60	73.5	27.37529	40.09356	316.4643
10	spot	0	73.5	45.47447	45.51162	306.3644
11	spot	0	73.5	91.9536	30.34108	257.5481
12	spot	-30	73.5	92.80672	29.25747	246.2093
14	wid	-90	73.5	102.3402	0	0
15	spot	-60	73.5	56.29018	18.13639	193.5819
16	spot	-90	73.5	24.68931	31.42469	175.0654
17	spot	-90	73.5	48.18105	30.34108	181.7986
18	spot	-90	73.5	79.38233	29.25747	175.0654
19	spot	-90	73.5	89.8003	31.96649	210.4151
20	spot	-30	73.5	41.19981	44.9698	95.94928
21	wid	-60	73.5	30.94911	21.13039	119.5158
