ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/Greeting/Greeting.png	67.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	5.325982	-10.2795	0.2	2	WoodenBlack	-1:-1	0
2	./Images/Greeting/Greeting_jp.png	67.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	33.37625	-10.0905	0.2	2	WoodenBlack	-1:-1	1
3	./Images/Samurai Japan/samurai.png	67.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-23.26704	-10.5	0.2	2	Wooden_thin2	-1:-1	2
5	./Images/Samurai Japan raw/02.jpg	86.97499,23.88,58.68739	0.4516581,0,-0.8921913	0,1,0	0.8921913,0,0.4516581	-0.6922758	-1.132501	0.2	5	Wooden_thin2	1:1	7
6	./Images/Samurai Japan raw/uji.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-35.83715	-11.193	0.2	2	Wooden_thin2	-1:-1	8
7	./Images/Samurai Japan raw/thumb_c_09109.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	0.8334643	-11.0985	0.2	1	Wooden_thin	-1:-1	9
8	./Images/Samurai Japan raw/s001.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-88.73023	-10.626	0.2	1	Wooden_thin	-1:-1	10
9	./Images/Samurai Japan raw/s002.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-78.50166	-10.6575	0.2	1	Wooden_thin	-1:-1	11
10	./Images/Samurai Japan raw/s003.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-68.22025	-10.626	0.2	1	Wooden_thin	-1:-1	12
11	./Images/Samurai Japan raw/thumb_c_01065.jpg	-67.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-34.03315	-10.311	0.2	3	Wooden_thin	-1:-1	13
13	./Images/Samurai Japan raw/thumb_c_00503.jpg	-67.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-10.5715	-17.619	0.2	1	Wooden_thin	-1:-1	15
14	./Images/Samurai Japan raw/thumb_c_00505.jpg	-67.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-10.59723	-3.255004	0.2	1	Wooden_thin	-1:-1	16
16	./Images/Samurai Japan raw/k001.png	-117,37.5,60	0,0,1	0,1,0	-1,0,0	-38.05288	-10.4685	0.2	2.5	none(caption)	-1:-1	18
17	./Images/Samurai Japan raw/k002.png	-117,37.5,60	0,0,1	0,1,0	-1,0,0	-11.14784	-10.563	0.2	2.2	none(caption)	-1:-1	19
18	./Images/Samurai Japan raw/k003.png	-117,37.5,60	0,0,1	0,1,0	-1,0,0	16.0554	-10.5	0.2	2.2	none(caption)	-1:-1	20
19	./Images/Samurai Japan raw/k004.png	-117,37.5,60	0,0,1	0,1,0	-1,0,0	43.49218	-10.5	0.2	2.2	none(caption)	-1:-1	21
20	./Images/Greeting/fujibi-V2ln41vO2wk-KKK3ORnm82o_med.jpg	-47.5924,23.88,-10.03583	-0.9999454,0,-0.01045132	0,1,0	-0.01045132,0,0.9999454	-0.03025695	-9.164999	0.2	6	none(caption)	5:1	24
21	./Images/Samurai Japan raw/01.jpg	37.24577,23.88,93.42258	-0.9774163,0,0.2113229	0,1,0	0.2113229,0,0.9774163	-1.630283	-1.542001	0.2	5	Wooden_thin2	2:1	24
22	./Images/Samurai Japan/001.png	117,37.5,60	0,0,-1	0,1,0	1,0,0	41.27677	-14.8155	0.2	2	none(caption)	-1:-1	25
23	./Images/Samurai Japan/Samurai Japan-43.png	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-13.29844	-11.256	0.2	1.5	none(caption)	-1:-1	26
24	./Images/Samurai Japan/002.png	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-53.44835	-13.8705	0.2	1	none(caption)	-1:-1	27
25	./Images/Samurai Japan/003.png	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-101.7536	-12.327	0.2	1	none(caption)	-1:-1	28
26	./Images/Samurai Japan/yoroi.png	-67.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	18.1403	-10.5	0.2	3	none(caption)	-1:-1	24
27	./Images/Samurai Japan raw/word.png	-69.47466,11.144,59.51051	0.3065265,0,0.9518622	0,1,0	-0.9518622,0,0.3065265	-12.67927	1.523502	0.2	1	Wooden_thin	7:0	34
