id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,7.702617,-30.35178	0,0,1		4.695041
2	3	1		3.166255,7.495543,0.02980015	0.2965416,0,0.95502		5.595041
3	4	2		7.971347,7.596646,17.73502	0.6996631,0,0.7144729		5.145041
4	5	3		15.36373,7.702618,28.75429	0.9998322,0,-0.01832461		4.69504
5	6	4		34.1625,8.678587,25.0989	0.0130923,0,-0.9999144		1.095041
6	7	5		62.1606,8.678587,23.46898	0.0130923,0,-0.9999144		1.095041
7	8	6		91.57726,8.678587,15.85661	0.0130923,0,-0.9999144		1.095041
8	9	7		86.25432,7.702618,15.70151	0.9994208,0,0.0340302		4.695038
9	10	8		63.28969,7.966721,23.08773	0.6613096,0,0.750113		3.645038
10	11	9		58.40583,7.562387,54.72799	-0.3485744,0,0.9372811		5.295036
11	12	10		4.554937,8.986736,69.06669	0.6313508,0,0.7754974		0.04503608
12	13	11		-9.551755,9.163305,50.65651	0.8874122,0,0.4609768		-0.5549622
13	14	12		21.97137,6.75,50.07544	0.5898987,0,0.8074772		55.69503
14	15	13		37.41936,6.75,39.61514	0.5202619,0,0.8540068		50.59503
15	16	14		-8.296354,6.75,10.12939	-0.0261803,0,0.9996572		13.24503
16	17	15		-8.534619,9.030918,79.8839	0,0,0.9999966		-0.1049805
17	18	16		-0.4892422,8.419071,101.8353	0,0,0.9999966		1.995032
18	19	17		-13.11393,8.006164,106.5299	0,0,0.9999692		3.495032
19	20	18		-35.11573,8.006164,104.0408	0,0,0.9999692		3.495032
20	21	19		-53.03925,8.29211,107.5111	-0.01832828,0,0.999832		2.44503
21	22	20		-54.33632,6.75,107.61	0.03925647,0,0.9992292		19.09503
22	23	21		-79.91765,8.63493,92.52006	0,0,0.9999966		1.245029
23	24	22		-88.54281,8.63493,107.2084	0,0,0.9999966		1.245029
24	25	23		-78.55145,8.63493,107.1823	0,0,0.9999966		1.245029
25	26	24		-68.56969,8.63493,107.1562	0,0,0.9999966		1.245029
26	27	25		-103.1985,8.63493,107.2467	0,0,0.9999966		1.245029
27	28	26		-103.2028,6.75,107.2223	-0.01571067,0,0.9998766		13.84503
28	29	27		-64.65962,7.813091,84.29716	-0.8485121,0,0.5291761		4.24503
29	30	28		-38.97525,7.889051,63.57817	-0.9997806,0,-0.02094591		3.945026
30	31	29		-73.53155,6.75,23.86158	-0.09932359,0,0.9950552		18.79503
31	32	30		-92.58465,9.207332,100.2951	-0.9953126,0,0.09671009		-0.7049561
32	33	31		-91.8718,8.504859,79.86919	-0.9998766,0,-0.01571214		1.695031
33	34	32		-87.86368,8.810247,76.33907	-0.9999692,0,0		0.6450345
34	35	33		-100.6175,6.916232,72.81152	-0.9999863,0,0		9.045041
35	36	34		-91.70327,8.766264,50.35499	-0.9995064,0,-0.03141439		0.7950405
36	37	35		-101.5419,6.969813,45.5084	-0.9997806,0,-0.02094626		8.59504
37	38	36		-93.00285,8.591407,25.23804	-0.9991227,0,-0.04187953		1.39504
38	39	37		-104.7382,8.591407,18.74711	-0.9991227,0,-0.04187953		1.39504
39	40	38		-71.65199,9.119217,54.52862	0.1045322,0,-0.9945216		-0.4049683
40	41	39		-96.46606,8.89841,14.93905	0.01832773,0,-0.9998322		0.3450463
41	42	40		-86.49973,8.89841,17.1313	0.01832773,0,-0.9998322		0.3450463
42	43	41		-76.47124,8.89841,15.31584	0.01832773,0,-0.9998322		0.3450463
43	44	42		-60.06837,8.89841,29.60982	0.01832773,0,-0.9998322		0.3450463
44	45	43		-36.95275,8.89841,42.01369	0.01832773,0,-0.9998322		0.3450463
45	-1	44		-8.638568,8.086176,26.25768	-0.8898157,0,0.45632		3.195048

